Gene	Length
SKI	6080
MORN1	11337
AL589739.1	955
AL513477.1	5517
AL513477.2	568
RER1	5691
PEX10	3789
PLCH2	10781
AL139246.1	455
AL139246.4	514
PANK4	5107
HES5	1306
AL139246.5	996
TNFRSF14-AS1	6137
TNFRSF14	6219
AL139246.2	1297
AL139246.3	626
FAM213B	3371
MMEL1	3844
AL831784.1	373
TTC34	8814
AC242022.1	1565
AL592464.2	607
AL592464.1	429
AL589702.1	1654
ACTRT2	1421
LINC00982	5600
PRDM16	9767
AL008733.1	469
AL512383.1	2677
AL590438.1	3461
ARHGEF16	5563
AL512413.1	382
MEGF6	7039
MIR551A	96
AL513320.1	622
TPRG1L	2414
WRAP73	7604
TP73	6763
AL136528.1	754
AL136528.2	351
TP73-AS1	7209
CCDC27	4285
SMIM1	954
LRRC47	4516
RN7SL574P	295
AL365330.1	531
CEP104	7876
DFFB	3870
AL691523.1	70
C1orf174	4388
LINC01134	4064
LINC01346	3894
LINC01345	1852
AL805961.1	1830
AL805961.2	4817
EEF1DP6	372
LINC01777	2104
AL355602.1	3402
Z98747.1	356
LINC01646	1994
AJAP1	12405
BX005132.2	464
BX005132.1	1580
AL691497.1	449
AL139823.1	1225
Z98259.3	2316
Z98259.2	609
Z98259.1	1697
Z97988.1	135
AL365255.1	1095
MIR4417	73
AL356693.1	89
MIR4689	70
NPHP4	13167
AL356261.1	86
KCNAB2	9534
AL035406.1	81
CHD5	9890
RPL22	4900
AL031847.1	378
RNF207	6585
ICMT	4910
LINC00337	1685
HES3	697
GPR153	4082
ACOT7	4124
AL031848.2	837
HES2	5407
ESPN	6943
MIR4252	63
AL031848.1	351
TNFRSF25	3918
PLEKHG5	7053
NOL9	7293
RNU6-731P	111
AL591866.1	401
TAS1R1	2892
ZBTB48	4503
KLHL21	6901
PHF13	3681
THAP3	4072
DNAJC11	5083
LINC01672	2188
snoU13	46761
AL591163.1	987
AL590128.2	415
CAMTA1	10033
AL590128.1	286
AL512330.1	349
RNU1-8P	165
CAMTA1-IT1	365
Z97987.1	743
AL365194.1	361
AL359881.3	1721
AL359881.2	570
AL359881.1	267
VAMP3	2760
Z98884.2	393
PER3	8099
Z98884.1	830
UTS2	1791
TNFRSF9	6331
AL009183.1	355
PARK7	2397
Y_RNA	83378
AL034417.4	4116
AL034417.3	1043
ERRFI1	4186
AL034417.2	2044
AL034417.1	800
AL358876.1	1075
LINC01714	950
RNU1-7P	164
AL358876.2	477
RN7SL729P	255
RNU6-991P	107
SLC45A1	2888
RERE	11503
AL096855.1	702
SNORA77	615
AL096855.2	369
RPL7P11	658
RPL7P7	703
AL357552.1	415
AL357552.2	353
RPL23AP19	369
ENO1	3958
ENO1-IT1	744
ENO1-AS1	456
RNU6-304P	107
HMGN2P17	743
AL139415.1	352
AL139415.2	163
CA6	2662
RN7SL451P	297
SLC2A7	1539
SLC2A5	6693
SCARNA16	909
GPR157	5372
MIR34AHG	4571
MIR34A	110
LINC01759	1662
Z98044.1	1907
H6PD	9321
SPSB1	3403
BX323043.1	1765
AL928921.2	2623
RNA5SP40	110
AL928921.1	708
SLC25A33	3854
AL954705.1	559
TMEM201	6966
PIK3CD	6332
PIK3CD-AS1	1823
AL691449.1	421
PIK3CD-AS2	939
CLSTN1	5559
MZT1P1	246
AL357140.3	1983
CTNNBIP1	3339
AL357140.1	424
LZIC	2794
AL357140.2	440
NMNAT1	4610
RN7SKP269	319
AL357140.4	412
MIR5697	78
AL603962.1	436
RBP7	861
AL590639.1	574
UBE4B	9128
PGAM1P11	680
RNU6-828P	107
KIF1B	17720
MIR1273D	86
RNU6-37P	107
RN7SL731P	291
AL139424.3	2380
RN7SL721P	295
AL139424.2	1477
PGD	2966
AL139424.1	797
CENPS-CORT	2244
CENPS	1739
CORT	1130
DFFA	6622
AL354956.1	467
PEX14	2995
RN7SL614P	278
CASZ1	11336
AL139423.1	7923
HSPE1P24	238
C1orf127	3573
CFL1P6	494
AL713997.1	88
TARDBP	6071
AL109811.4	2205
MASP2	4251
AL109811.3	870
SRM	1898
EXOSC10	6003
AL109811.1	2682
AL109811.2	536
MTOR	12119
MTOR-AS1	763
RNU6-537P	103
ANGPTL7	2238
RNU6-291P	107
RPL39P6	150
UBIAD1	5082
UBE2V2P3	437
AL031291.1	742
MTCYBP45	565
DISP3	6142
LINC01647	1285
AL031731.1	2094
FBXO2	3416
FBXO44	3527
FBXO6	1811
MAD2L2	3324
DRAXIN	7346
AGTRAP	2435
C1orf167	6499
AL953897.1	1868
MTHFR	11978
CLCN6	6938
NPPA-AS1	1427
NPPA	1120
NPPB	694
AL021155.1	2637
RNU5E-1	120
RNU5E-4P	120
KIAA2013	3281
PLOD1	5320
MFN2	4973
AL096840.1	93
MIIP	2821
RN7SL649P	273
TNFRSF8	3738
RNU6-777P	104
RPL23AP89	255
TNFRSF1B	3766
MIR4632	61
RPL10P17	316
SNORA70	3743
VPS13D	20021
SNORA59A	152
AC243836.1	438
DHRS3	3036
RNU6ATAC18P	101
AC254633.1	345
AADACL4	1575
AC244670.1	112
AADACL3	4047
C1orf158	4117
PRAMEF12	1786
PRAMEF1	2426
LINC01784	378
PRAMEF11	1839
PRAMEF30P	1413
HNRNPCL1	1108
PRAMEF2	1642
PRAMEF4	1828
PRAMEF10	1522
PRAMEF7	1654
RNU6-1072P	107
PRAMEF29P	1139
PRAMEF6	1784
RP11-450I1.4	1371
PRAMEF22	1446
WI2-3308P17.2	605
PRAMEF23	1426
RP13-221M14.6	1422
PRAMEF25	1428
RP13-221M14.2	384
RP13-221M14.3	1452
PRAMEF34P	1447
PRAMEF35P	891
HNRNPCL2	1148
HNRNPCL4	577
PRAMEF26	1476
PRAMEF3	2104
RP11-248D7.2	1422
PRAMEF5	1855
PRAMEF32P	1068
RNU6-771P	107
PRAMEF8	1844
RP11-219C24.6	1425
PRAMEF9	1863
RP11-219C24.10	384
PRAMEF13	2034
PRAMEF28P	1417
PRAMEF18	1440
PRAMEF16	1587
PRAMEF21	1597
XX-FW84067D5.1	1844
XX-FW84067D5.2	1425
PRAMEF15	1863
PRAMEF14	2301
PRAMEF19	1233
PRAMEF17	1578
PRAMEF20	1597
LRRC38	2209
AL354712.1	477
BRWD1P1	371
PDPN	3707
RNA5SP41	101
AL359771.1	480
SCARNA11	552
PRDM2	10923
KAZN	13841
RNU6-1265P	103
AL357873.1	282
AL359873.1	764
TBCAP2	326
TMEM51-AS1	7100
TMEM51	2240
C1orf195	559
AL035405.1	710
AL391094.1	966
FHAD1	12805
AL031283.2	3105
AL031283.3	727
AL031283.1	5178
EFHD2	2531
CTRC	3486
CELA2A	1519
CELA2B	1457
CASP9	5269
DNAJC16	8563
SCARNA21	573
AL121992.3	346
AGMAT	2500
AL121992.1	2932
CHCHD2P6	447
RNU7-179P	68
CD24P1	225
DDI2	12136
RSC1A1	1854
AL121992.2	256
PLEKHM2	4122
AL450998.3	1533
SLC25A34	3195
AL450998.2	639
TMEM82	1520
FBLIM1	4716
RPL12P14	490
UQCRHL	2180
AL450998.1	438
FLJ37453	2473
SPEN	13294
AL034555.1	211
ZBTB17	4240
AL355994.4	563
AL355994.1	260
AL355994.5	236
TBC1D3P6	962
C1orf64	3039
AL355994.3	466
HSPB7	3910
CLCNKA	3476
AL355994.2	704
CLCNKB	2939
FAM131C	1701
EPHA2	4159
AL451042.2	904
AL451042.1	544
ARHGEF19-AS1	439
ARHGEF19	3745
ANO7L1	1990
C1orf134	252
RSG1	1545
MT1XP1	186
FBXO42	8984
SZRD1	4747
AL358794.1	381
SPATA21	4506
NECAP2	5559
LINC01772	3245
CROCCP3	6813
RNU1-1	164
AL137802.2	1110
AL137802.1	327
LINC01783	2068
AL355149.2	510
AL355149.1	956
NBPF1	12212
AL137798.1	849
CROCCP2	5606
AL137798.3	166
MST1P2	2291
AL137798.2	817
RNU1-3	164
AL021920.1	480
EIF1AXP1	435
ESPNP	3178
AL021920.2	510
AL021920.3	819
CROCC	8871
CROCCP4	762
RNU1-4	164
MST1L	5180
BX284668.1	837
BX284668.3	882
MIR3675	73
BX284668.2	2963
BX284668.5	508
BX284668.4	508
RNU1-2	164
BX284668.6	438
MFAP2	2915
AL049569.1	636
ATP13A2	5253
SDHB	2462
PADI2	5984
AL590644.1	4676
AL590644.3	1228
PADI1	4903
PADI3	3189
MIR3972	87
PADI4	2971
AC004824.2	339
PADI6	2396
AC004824.1	375
RCC2	4126
ARHGEF10L	7817
AL136529.1	610
ACTL8	1864
AL357509.1	2013
LINC01654	2471
IGSF21	3085
AL365209.1	6473
AL359738.1	430
AL591896.1	491
KLHDC7A	5145
DYNLL1P3	266
AL031737.1	223
PAX7	6313
TAS1R2	2542
AL080251.1	4369
ALDH4A1	3689
MIR4695	74
MIR1290	78
IFFO2	6188
AL137127.1	3502
UBR4	24675
AL035413.1	507
EMC1	9623
MRTO4	2822
AKR7L	2768
AKR7A3	1710
AL035413.2	525
AKR7A2	1781
RNU6-1099P	107
PQLC2	2686
RN7SL85P	256
CAPZB	3238
RN7SL277P	286
RNU4-28P	141
AL031727.2	207
MINOS1	5227
MINOS1-NBL1	2493
AL031727.1	455
NBL1	3465
HTR6	1984
TMCO4	4054
RNF186	1250
AL391883.1	447
OTUD3	6767
PLA2G2E	785
RN7SL304P	299
PLA2G2A	1685
PLA2G5	2607
PLA2G2D	2681
PLA2G2F	6440
Z98257.1	2639
PLA2G2C	3298
UBXN10-AS1	510
UBXN10	5571
LINC01757	480
Z98257.2	1639
VWA5B1	6377
AL020998.1	229
LINC01141	3394
AL139254.1	376
AL139254.2	1340
AL139254.3	674
CAMK2N1	2615
MUL1	2438
RPS4XP4	763
FAM43B	2572
CDA	963
PINK1	4836
PINK1-AS	4443
AL391357.1	348
DDOST	2721
KIF17	4470
AL663074.2	479
SH2D5	4423
AL663074.1	299
HP1BP3	7442
RP5-930J4.4	572
EIF4G3	9596
RNU7-200P	62
MIR1256	119
RPS15AP6	385
AL627311.1	115
HSPE1P27	296
AL031005.1	787
ECE1	7265
AL031728.1	2479
PPP1R11P1	376
AL592309.1	649
AL592309.2	761
NBPF2P	661
HS6ST1P1	1234
CROCCP5	830
NBPF3	6812
PFN1P10	327
ALPL	3007
AL359815.1	959
RAP1GAP	5755
USP48	9497
AL590103.1	307
LDLRAD2	4490
HSPG2	17684
AL590556.1	483
AL590556.2	1162
CELA3B	1541
RN7SL421P	286
RN7SL386P	295
RNU6-1022P	104
CELA3A	1224
RN7SL768P	284
RN7SL186P	295
RNU6-776P	104
LINC01635	1126
LINC00339	3764
CDC42	3598
CDC42-IT1	692
AL031281.1	488
AL031281.2	748
WNT4	4527
MIR4418	62
AL591122.1	492
AL591122.2	1853
ZBTB40	8992
ZBTB40-IT1	273
EPHA8	5358
C1QA	1272
C1QC	1335
C1QB	1601
EPHB2	12516
MIR4684	82
AL611946.1	95
AL512444.1	480
MIR4253	68
LACTBL1	1641
TEX46	658
KDM1A	5435
AL031428.1	666
MIR3115	68
MIR4419A	77
LUZP1	9658
AL161672.1	818
RNU6-514P	107
RNU6-135P	101
HTR1D	2835
AL109936.1	460
LINC01355	5444
AL109936.8	604
HNRNPR	8676
ZNF436	4392
ZNF436-AS1	2655
AL109936.2	650
TCEA3	3515
AL357134.1	426
ASAP3	4988
E2F2	5457
AL021154.1	456
ID3	1797
MDS2	2142
AL451000.1	1186
RPL11	1987
RP5-886K2.1	1134
RN7SL532P	281
ELOA	5391
ELOA-AS1	1347
PITHD1	2186
LYPLA2	2196
GALE	3978
HMGCL	5658
FUCA1	2047
CNR2	5254
RN7SL24P	292
BTBD6P1	1267
AL590609.3	210
MIR378F	78
AL590609.2	368
PNRC2	2564
SRSF10	10277
AL590609.1	328
AL591178.1	454
MYOM3	9254
AL591178.2	461
IL22RA1	2798
IFNLR1	4923
AL590683.1	1963
AL590683.2	89
AL138902.1	856
GRHL3	3940
STPG1	8511
NIPAL3	9404
RCAN3	7077
RN7SL857P	260
AL445686.2	1445
NCMAP	4122
AL445686.1	348
SRRM1	8168
AL445648.1	886
CLIC4	4495
RNU6-1208P	107
RUNX3	4523
AL445471.1	820
AL445471.2	2443
MIR4425	84
AL050344.1	863
AL121994.1	402
AL031432.1	988
SYF2	3370
AL031432.4	2190
AL031432.5	760
RSRP1	6804
AL031432.3	485
AL031432.2	459
RHD	3313
SDHDP6	480
AL928711.1	459
TMEM50A	3410
RNU6-1171P	64
RHCE	2433
AL031284.1	537
TMEM57	3979
LDLRAP1	5397
AL606491.1	483
MAN1C1	9026
AL031280.1	2224
SELENON	4424
AL020996.2	792
AL020996.1	2793
MTFR1L	5817
AL020996.3	222
AUNIP	2408
AL033528.2	849
PAQR7	3297
STMN1	6261
SNRPFP2	251
AL033528.1	214
MIR3917	93
PAFAH2	3835
RNU6-110P	104
SCARNA17	698
SCARNA18	550
EXTL1	4537
SLC30A2	3498
AL391650.2	941
TRIM63	2573
AL391650.1	1821
PDIK1L	4535
FAM110D	2858
C1orf232	761
ZNF593	769
CNKSR1	4043
CATSPER4	2030
AL355877.1	3191
AL355877.3	899
CEP85	5422
AL355877.2	358
SH3BGRL3	1786
UBXN11	4704
CD52	935
CRYBG2	6051
AL451139.1	346
RN7SL490P	255
ZNF683	2379
LIN28A	4008
DHDDS	5596
AL513365.1	535
AL513365.2	529
HMGN2	2509
DPPA2P2	897
RPS6KA1	5884
MIR1976	52
RN7SL679P	301
AL627313.1	238
AL627082.1	235
AL512408.1	2000
ARID1A	15922
RN7SL501P	279
PIGV	3382
RN7SL165P	289
ZDHHC18	5436
SFN	1320
AL034380.1	306
GPN2	4979
GPATCH3	2225
NUDC	2856
NR0B2	1156
KDF1	1793
RPL12P13	497
AL356390.1	397
OSTCP2	444
TRNP1	1976
FAM46B	2368
SLC9A1	5974
AL590640.2	527
CHCHD3P3	640
NPM1P39	867
SNRPEP7	220
AL590640.1	379
WDTC1	6024
FO393419.3	282
TMEM222	4476
RNU6-48P	107
ACTG1P20	468
SYTL1	5584
MAP3K6	4951
FCN3	2167
CD164L2	2039
FO393419.1	355
GPR3	2115
WASF2	5666
FO393419.2	428
BX293535.1	283
AHDC1	7157
FGR	3474
AL031729.1	192
AL445490.2	441
IFI6	865
AL445490.1	1651
RNU6-949P	107
CHMP1AP1	662
RNU6-424P	105
FAM76A	4034
AL020997.1	349
RPEP3	676
STX12	3846
AL020997.2	184
AL020997.3	359
RNU6-1245P	106
PPP1R8	2819
SCARNA1	166
AL109927.1	171
THEMIS2	4621
RPA2	2019
SMPDL3B	2670
AL512288.1	491
XKR8	2743
EYA3	6483
AL512288.2	367
RN7SL559P	295
SPCS2P4	681
AL137792.2	235
AL137792.1	557
RNU6-176P	105
RNU7-29P	62
PTAFR	4706
DNAJC8	2888
AL353354.1	66
AL353354.2	350
ATPIF1	2225
AL353622.1	1945
AL353622.2	425
SESN2	3453
MED18	2019
PHACTR4	7322
CR391992.1	394
RNU6ATAC27P	119
RCC1	3888
SNHG3	4088
SNORA73B	204
PRDX3P2	611
AL513497.1	2083
TRNAU1AP	4311
SNHG12	3377
SNORD99	74
TAF12	2337
RAB42	2200
LINC01715	978
AL360012.1	131
GMEB1	6459
SCARNA24	267
YTHDF2	3859
OPRD1	9345
RP1-212P9.2	1747
AL009181.1	1085
EPB41	10739
AL138785.1	331
TMEM200B	2639
AL357500.1	279
SRSF4	8893
RP11-242O24.5	320
MECR	3922
AL590729.1	573
PTPRU	6682
AL645859.1	142
LINC01756	2148
AL139151.1	82
AL671862.1	349
AC092265.1	632
AL645944.2	1953
AL645944.1	597
LINC01648	1519
AL137076.1	551
AL021921.1	93
AL161638.2	507
AL161638.1	481
MATN1	4606
MATN1-AS1	4024
LAPTM5	3274
MIR4420	77
AL137027.1	444
LINC01778	1646
RN7SKP91	288
AL445235.1	1747
SDC3	7067
PUM1	6621
SNORD103A	86
SNORD103B	86
SNORD85	73
AL356320.2	507
AL356320.1	163
SELENOWP1	252
AC114495.1	436
NKAIN1	2987
SNRNP40	3881
AC114495.2	437
ZCCHC17	1921
AL451070.1	439
FABP3	1026
SERINC2	3549
AC114494.1	423
AC209007.1	1342
RNU6-40P	107
LINC01226	9848
RP11-439L8.3	1166
AC114488.1	591
TINAGL1	5281
HCRTR1	2558
PEF1	2227
AC114488.2	2216
AC114488.3	480
COL16A1	9269
ADGRB2	7756
MIR4254	76
AL354919.2	537
SPOCD1	7085
AL354919.1	2257
AL136115.2	587
PTP4A2	6267
AL136115.1	2089
AL136115.3	1873
KHDRBS1	3588
AL445248.1	624
TMEM39B	2820
MIR5585	59
KPNA6	7480
AL049795.2	667
TXLNA	5103
CCDC28B	2818
AL049795.1	1357
IQCC	2478
DCDC2B	1869
TMEM234	3571
EIF3I	1725
MTMR9LP	2961
FAM167B	936
LCK	3339
HDAC1	3963
MARCKSL1	1699
AL109945.1	687
TSSK3	2191
FAM229A	2845
BSDC1	6271
GAPDHP20	1007
AL356986.1	341
LRRC37A12P	1801
RN7SL122P	298
AL033529.1	3447
ZBTB8B	12834
ZBTB8A	7075
ZBTB8OS	3531
RBBP4	9470
SYNC	3487
AC114489.1	395
KIAA1522	5965
YARS	8212
S100PBP	9194
FNDC5	3139
HPCA	1991
TMEM54	1417
AL031602.1	1017
RNF19B	2610
FKSG48	375
AL355864.1	526
AL355864.2	863
AL020995.1	1680
AK2	5727
AZIN2	6559
AL662907.1	1360
TRIM62	3646
AL662907.2	3448
AL662907.3	1947
ZNF362	3331
AL513327.3	469
AL513327.1	5360
A3GALT2	1023
PHC2	4975
MIR3605	100
RN7SKP16	299
AL513327.2	490
AL138837.1	87
TLR12P	2706
ZSCAN20	5308
AC115285.1	736
CSMD2	18157
HSPD1P14	1618
HMGB4	2561
CSMD2-AS1	2253
RNA5SP42	115
C1orf94	2576
AC115286.1	518
MIR552	96
SMIM12	8091
GJB5	1355
GJB4	2840
AL121988.1	644
GJB3	2387
GJA4	1717
AL122010.1	720
DLGAP3	3977
SNORD112	3410
AC114490.1	3346
AC114490.2	3099
TMEM35B	922
ZMYM6	9591
RPL12P45	478
ZMYM1	4828
EFCAB14P1	463
AL590434.1	1886
SFPQ	7426
RN7SL136P	261
ZMYM4	7647
RN7SL503P	299
SNORA62	966
RPL5P4	886
ZMYM4-AS1	459
RNY5P1	78
KIAA0319L	9629
AC004865.1	1003
NCDN	4917
AC004865.2	1030
TFAP2E	2189
PSMB2	4843
RN7SL281P	250
C1orf216	3629
CLSPN	5411
AL354864.1	539
AGO4	7267
AGO1	13886
AL139286.1	483
AL139286.2	396
AGO3	21157
AL138787.2	659
AL138787.1	1674
TEKT2	1978
ADPRHL2	1668
COL8A2	4670
TRAPPC3	3527
MAP7D1	5271
RN7SL131P	254
THRAP3	4736
UBE2V2P4	259
SH3D21	4474
EVA1B	1211
AL591845.1	1838
STK40	5590
LSM10	1496
RNU4-27P	139
OSCP1	2788
SNORA63	1530
MRPS15	2916
CSF3R	8429
FTLP18	523
AL596257.1	2694
AC117945.2	1521
AC117945.1	463
GRIK3	10111
AL031430.1	1039
MIR4255	72
RNU6-636P	107
AL353604.1	596
RNA5SP43	110
RPS29P6	145
LINC01137	1395
ZC3H12A	3121
MEAF6	3487
MIR5581	60
SNIP1	5769
FTH1P1	532
AL034379.1	253
DNALI1	4456
GNL2	5745
AL513220.1	1326
RSPO1	3089
C1orf109	4434
CDCA8	2469
EPHA10	8152
ACTN4P2	1892
AL929472.1	474
MANEAL	3018
AL929472.3	700
YRDC	1826
C1orf122	2231
MTF1	8024
AL929472.4	691
AL929472.2	481
INPP5B	8930
RNU6-584P	95
SF3A3	4740
RNU6-510P	108
FHL3	2004
UTP11	3385
POU3F1	2184
AL139158.2	684
AL139158.1	340
MIR3659	99
AL139158.3	1562
LINC01343	2283
AL513479.1	585
RNU6-753P	107
LINC01685	1497
AL354702.1	1960
AL354702.2	1240
RRAGC	5167
AL139260.2	2171
AL139260.1	976
MYCBP	3039
AL139260.3	3251
GJA9	2057
RHBDL2	2795
RNU6-605P	108
EIF1P2	350
AKIRIN1	2741
NDUFS5	548
MACF1	42672
RNU6-608P	104
RNA5SP44	133
AL356055.1	446
AL442071.1	558
HSPE1P8	288
BMP8A	1692
OXCT2P1	1535
AL365277.1	3059
PPIEL	813
PABPC4	6782
AL365277.2	551
SNORA55	135
HEYL	3661
AL035404.2	304
NT5C1A	1107
HPCAL4	4962
PPIE	8071
AL035404.1	568
RNU7-121P	62
BMP8B	4822
OXCT2	1826
AL033527.3	1196
AL033527.1	154
AL033527.5	1744
AL033527.4	673
TRIT1	2663
MYCL	5063
AL033527.2	785
MFSD2A	4007
AL663070.1	725
CAP1	3814
PPT1	5088
AL512599.1	685
RLF	6246
RNU6-1237P	107
TMCO2	889
AL050341.2	1541
ZMPSTE24	3572
AL050341.1	313
COL9A2	4151
AL031985.2	480
SMAP2	3631
AL031985.1	418
AL031985.4	673
ZFP69B	2386
AL031985.3	2449
AL603839.4	1005
ZFP69	3248
AL603839.3	605
EXO5	3092
AL603839.1	432
AL603839.2	546
ZNF684	3039
AL356379.1	126
GTF2F2P2	721
RIMS3	7235
AL031289.1	471
NFYC-AS1	1687
NFYC	5990
MIR30E	92
MIR30C1	89
KCNQ4	4183
RN7SL326P	294
CITED4	1316
AC119677.1	471
AL391730.1	921
UBE2V1P8	265
CTPS1	5462
SLFNL1-AS1	4800
SLFNL1	4310
SCMH1	4447
RPL23AP17	499
AC093151.3	1468
AC093151.1	313
FOXO6	2398
AC093151.2	394
RNA5SP45	92
EDN2	1639
HIVEP3	14218
AL445933.2	265
AL445933.1	2242
AL451006.1	87
HNRNPFP1	1133
AC114492.1	454
GUCA2B	597
GUCA2A	569
FOXJ3	6893
AC096540.1	661
RIMKLA	8981
AL513331.1	397
ZMYND12	2195
PPCS	2590
CCDC30	13504
AL445669.1	755
TMSB4XP1	135
RNU6-536P	107
AL445669.2	421
PPIH	1444
AC098484.2	601
YBX1	1930
CLDN19	3602
P3H1	6766
C1orf50	1522
AC098484.3	1348
AC098484.1	484
TMEM269	4373
SVBP	1208
ERMAP	4631
AL512353.1	1617
ZNF691	2036
AL512353.2	1962
AL512353.3	1326
ATP6V1E1P1	681
SLC2A1	4721
AC099795.2	440
SLC2A1-AS1	3364
AC099795.1	852
RNU6-880P	107
RNU6-870P	89
AL161637.1	412
FAM183A	843
EBNA1BP2	3561
CFAP57	5764
RNA5SP46	120
TMEM125	2127
C1orf210	1516
TIE1	6694
MPL	2086
AL139289.2	661
CDC20	2038
ELOVL1	2507
MED8	2704
AL139289.1	731
SZT2	25040
SZT2-AS1	699
HYI	2740
HYI-AS1	545
PTPRF	10712
KDM4A	5172
KDM4A-AS1	1931
ST3GAL3	4443
AL451062.1	469
RNU6-1058P	90
AL451062.2	271
SHMT1P1	1312
ARTN	2658
AL357079.1	557
IPO13	5083
DPH2	2930
ATP6V0B	3535
B4GALT2	3772
CCDC24	3554
SLC6A9	5159
AL139220.2	7999
AL139220.1	520
KRT8P47	1398
RN7SL479P	298
KLF17	3131
AL356653.1	360
KLF18	3159
AL359839.1	1160
OOSP1P1	274
AL035417.1	214
AL035417.2	796
DMAP1	5599
ERI3	2642
ERI3-IT1	619
AL390776.1	74
RNU6-369P	102
RNF220	9687
MIR5584	60
TMEM53	3635
C1orf228	3166
RNU5F-1	117
RNU5D-1	116
KIF2C	3646
AL592166.1	765
RPS8	2847
SNORD55	80
SNORD46	310
SNORD38A	70
SNORD38B	67
RPS15AP11	385
BEST4	2047
PLK3	3479
TCTEX1D4	763
BTBD19	3520
PTCH2	5149
RNU5E-6P	115
AL136380.1	267
EIF2B3	3411
RNA5SP47	109
CCNB1IP1P1	839
AL136380.2	492
MRPS17P1	3130
HECTD3	5077
UROD	2908
ZSWIM5	6046
AL359473.1	52
OSTCP5	453
AL592294.1	90
LINC01144	1710
HPDL	1629
MUTYH	3909
TOE1	2742
TESK2	3322
AL451136.1	325
CCDC163	2757
MMACHC	5296
PRDX1	1522
HMGB1P48	598
AKR1A1	3121
NASP	8304
CCDC17	3323
GPBP1L1	7433
RPS15AP10	382
AL604028.2	788
TMEM69	2439
IPP	3705
AL604028.1	598
AL603882.1	681
MAST2	7877
TMA16P2	601
PIK3R3	7410
AL358075.4	1553
AL358075.1	649
AL358075.3	226
AL358075.2	339
TSPAN1	2366
AL672043.1	395
POMGNT1	6198
LURAP1	1854
RAD54L	3212
LRRC41	8606
UQCRH	1408
NSUN4	8468
AL122001.1	370
FAAH	2776
FAAHP1	2476
LINC01398	1398
DMBX1	2896
AL136373.1	1449
MKNK1-AS1	2445
KNCN	2810
MKNK1	8070
MOB3C	5916
ATPAF1	5677
NENFP1	466
TEX38	1490
EFCAB14-AS1	584
EFCAB14	6285
AL593856.1	805
CYP4B1	3466
CYP4Z2P	1598
AL731892.1	1192
CYP4A11	3890
CYP4A26P	196
CYP4A43P	121
CYP4A27P	190
CYP4A44P	154
CYP4X1	2548
CYP4Z1	1996
AL450996.1	1202
CYP4A22-AS1	921
CYP4A22	3859
MTND1P34	671
LINC00853	661
PDZK1IP1	1438
TAL1	5700
AL135960.1	4036
STIL	7291
CMPK1	3844
